post_id,topic,tfidf_mean,tfidf_max,d2v_1,d2v_2,d2v_3,d2v_4,d2v_5,d2v_6,d2v_7,d2v_8,d2v_9,d2v_10,d2v_11,d2v_12,d2v_13,d2v_14,d2v_15,d2v_16,d2v_17,d2v_18,d2v_19,d2v_20
1,0.0474303830493757,0.6276069032786851,0.7311151136972387,-5.696737289428711,3.600628614425659,1.888588309288025,4.69781494140625,-5.616477489471436,-11.314406394958496,4.154246807098389,12.685128211975098,-5.6466064453125,-15.16062831878662,2.8460166454315186,0.421473890542984,-0.325882226228714,-0.6234802603721619,-0.0754007250070571,6.569970607757568,-3.4406957626342773,0.2252329736948013,2.8018295764923096,-3.1162405014038086
2,0.0474303830493757,1.4928794315139349,-0.7739267185476921,0.7256207466125488,-2.1831815242767334,-3.71174693107605,-1.569357991218567,-4.500834941864014,-3.644570589065552,4.032550811767578,3.12739896774292,-5.547461986541748,-8.726040840148926,-1.1597520112991333,0.3156061172485351,-0.8591673970222473,-0.5232223868370056,-1.3681318759918213,3.444110870361328,2.810560464859009,-1.7297935485839844,-0.331541508436203,-1.1271828413009644
3,0.0474303830493757,1.7007228395617218,-0.8945015966058086,-4.928478240966797,0.9504203200340272,4.643131732940674,3.792057514190674,-7.631809711456299,-4.393817901611328,4.179424285888672,6.589442729949951,-8.521201133728027,-11.320903778076172,3.55182147026062,-3.0427794456481934,5.222722053527832,1.212748408317566,0.7348743677139282,5.775929927825928,3.756821393966675,-2.5720369815826416,5.106787204742432,-4.602607727050781
4,0.0474303830493757,-0.1625249485394281,1.6006675691632712,-5.095303535461426,-5.309636116027832,-5.227423667907715,-2.3985536098480225,-7.271569728851318,-8.456985473632812,4.756403923034668,5.456431865692139,-4.323081970214844,-2.9826786518096924,2.597554922103882,-5.081899166107178,1.824547529220581,-3.3563661575317383,1.4054471254348757,-1.810271978378296,5.454588413238525,-1.1769979000091553,1.4885661602020264,-7.576660633087158
5,0.0474303830493757,-0.2199645097811371,0.4305147302342469,-6.119230270385742,-5.366458892822266,-8.183465957641602,2.1800711154937744,-4.95388126373291,-1.830284833908081,0.3372334539890289,4.063673973083496,-4.885644912719727,-3.1672277450561523,1.4381134510040283,1.141751408576965,3.959878921508789,-3.620959520339966,3.901591539382935,-2.650474786758423,2.270408391952514,-4.71016788482666,0.8401198983192444,-9.217193603515623
6,0.0474303830493757,-0.0487950545874562,0.3837802371569438,-1.8064658641815183,-5.345613956451416,3.8057820796966553,8.866344451904297,-6.358407497406006,-6.9592461585998535,-5.083118915557861,0.6364280581474304,-6.147724151611328,-5.591115951538086,1.4704664945602417,3.0740034580230717,-3.122673273086548,0.259133905172348,2.7017860412597656,0.311471164226532,3.0665082931518555,-8.002405166625977,0.728860080242157,-0.8659451007843018
14,0.0474303830493757,-0.2626999145998591,1.42217693999329,-2.732513904571533,-5.083728313446045,-3.1152260303497314,5.308918476104736,-6.166353225708008,0.5548784136772156,0.1143079847097396,5.748635768890381,3.562925338745117,-5.692411422729492,1.9977450370788572,-2.4798295497894287,-0.328787237405777,-0.9392426013946532,7.049617767333984,-1.5394315719604492,2.662381410598755,-3.438803672790528,0.6128698587417603,-11.5548677444458
2366,0.5405491639093988,-1.2957848615395349,-0.5045036520004181,1.388005614280701,-2.0025346279144287,-3.387240409851074,2.359097719192505,-2.1592726707458496,-1.6296101808547974,1.692467212677002,1.1387147903442385,-1.950927495956421,-3.7322707176208496,1.033092737197876,-1.2275176048278809,-1.025281548500061,-2.851654291152954,1.3133909702301023,-0.2721472084522247,3.891426801681519,-0.9542950391769408,0.5031285881996155,1.5694609880447388
7,0.0474303830493757,0.5127613857415267,-0.5700702504935703,-3.819999933242798,-3.4074742794036865,-1.1688417196273804,-0.1717694699764251,-6.703823089599609,-6.168842792510986,1.773239016532898,1.1326674222946167,-6.297359943389893,-5.559053421020508,3.301527976989746,0.9539674520492554,-2.7897870540618896,-3.819311141967773,-3.187624931335449,-1.605139970779419,2.1799075603485107,-3.2470638751983643,2.434849262237549,-3.558326244354248
8,0.0474303830493757,0.1448224015813624,1.2235818864868584,-1.2109583616256714,-4.289731502532959,-0.4847245514392853,5.58462381362915,-7.071573734283447,-5.643182754516602,-0.7228744029998779,0.8716976046562195,-4.544745445251465,-4.431747913360596,0.44475057721138,-3.2023892402648926,-0.6244824528694153,-0.2315152287483215,-0.918049156665802,1.7953230142593384,1.8086882829666135,-1.476631999015808,4.46221923828125,-4.024706840515137
